City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Celsius
235,esperance,-33.8667,121.9,294.39,53,0,5.08,AU,1674180788,21.24000000000001
236,hasaki,35.7333,140.8333,283.31,70,58,3.38,JP,1674180789,10.160000000000025
237,santa rosa,14.3122,121.1114,301.14,77,100,7.47,PH,1674180563,27.99000000000001
238,burnie,-41.0667,145.9167,293.67,52,49,2.99,AU,1674180697,20.52000000000004
239,cabo san lucas,22.8909,-109.9124,293.43,54,100,3.09,MX,1674180679,20.28000000000003
240,umea,63.8284,20.2597,272.11,93,100,1.54,SE,1674180636,-1.0399999999999636
241,gorontalo,0.5412,123.0595,303.41,62,99,2.08,ID,1674180698,30.260000000000048
242,fountain hills,33.6117,-111.7174,284.51,52,0,0.89,US,1674180792,11.360000000000014
243,tabou,4.423,-7.3528,298.98,86,52,3.26,CI,1674180792,25.83000000000004
244,katsuura,35.1333,140.3,283.53,66,36,4.4,JP,1674180793,10.379999999999995
245,olga,43.7444,135.2892,266.48,91,100,3.48,RU,1674180793,-6.669999999999959
246,nizhniy baskunchak,48.2198,46.8311,266.32,79,0,4.36,RU,1674180794,-6.829999999999984
247,nabire,-3.3667,135.4833,302.6,68,96,1.88,ID,1674180795,29.450000000000045
248,vikhorevka,56.1201,101.1636,240.92,97,100,1.4,RU,1674180797,-32.22999999999999
249,coolum beach,-26.5333,153.1,297.65,93,75,0.45,AU,1674180798,24.5
250,xihe,31.6864,113.4659,278.42,37,0,3.67,CN,1674180798,5.270000000000039
251,alaca,40.1683,34.8425,278.56,56,98,0.98,TR,1674180799,5.410000000000025
252,aleksandrov gay,50.147,48.5704,264.32,89,5,3.64,RU,1674180800,-8.829999999999984
253,morondava,-20.2833,44.2833,300.76,66,100,7.91,MG,1674180801,27.610000000000014
254,chuy,-33.6971,-53.4616,294.45,83,5,4.43,UY,1674180801,21.30000000000001
255,kavaratti,10.5669,72.642,299.78,69,5,3.66,IN,1674180801,26.629999999999995
256,kon tum,14.35,108.0,294.75,63,93,2.39,VN,1674180195,21.600000000000023
257,gambela,8.25,34.5833,299.84,39,100,1.29,ET,1674180803,26.689999999999998
258,plattling,48.7833,12.8667,273.81,83,92,0.42,DE,1674180803,0.660000000000025
